Age,Education,Occupation,Relationship,Sex,Country
35, Assoc-voc, Other-service, Husband, Male, Puerto-Rico
41, HS-grad, Adm-clerical, Husband, Male, United-States
30, HS-grad, Machine-op-inspct, Husband, Male, United-States
30, Bachelors, Sales, Husband, Male, United-States
32, 7th-8th,, Not-in-family, Male,
48, HS-grad, Transport-moving, Husband, Male, United-States
42, Doctorate, Prof-specialty, Husband, Male, United-States
29, Some-college, Tech-support, Not-in-family, Male, United-States
36, HS-grad, Craft-repair, Husband, Male, United-States
28, Some-college, Adm-clerical, Not-in-family, Female, United-States
53, HS-grad, Adm-clerical, Wife, Female, United-States
49, Some-college, Exec-managerial, Husband, Male, United-States
25, Some-college,, Own-child, Male, United-States
19, Some-college, Prof-specialty, Own-child, Male, United-States
31, Bachelors, Sales, Own-child, Female, United-States
29, Bachelors, Sales, Husband, Male, United-States
23, Some-college, Machine-op-inspct, Not-in-family, Male, United-States
79, Some-college, Prof-specialty, Other-relative, Male, United-States
27, HS-grad, Other-service, Own-child, Male, Mexico
40, Assoc-acdm, Adm-clerical, Husband, Male, United-States
67, 10th,, Husband, Male, United-States
18, 11th, Other-service, Own-child, Female, United-States
31, 7th-8th, Farming-fishing, Husband, Male, United-States
18, HS-grad, Sales, Not-in-family, Male, United-States
52, Bachelors, Other-service, Husband, Male, Cuba
46, HS-grad, Other-service, Wife, Female, United-States
59, HS-grad, Sales, Husband, Male, United-States
44, HS-grad, Craft-repair, Not-in-family, Female, United-States
53, HS-grad, Sales, Own-child, Female, United-States
49, HS-grad, Protective-serv, Husband, Male, United-States
33, Masters, Prof-specialty, Husband, Male, United-States
30, 9th, Sales, Not-in-family, Male, United-States
43, Doctorate, Prof-specialty, Not-in-family, Female, United-States
57, Assoc-voc, Prof-specialty, Husband, Male, United-States
37, Some-college, Craft-repair, Unmarried, Female, United-States
28, Some-college, Machine-op-inspct, Unmarried, Female, United-States
30, HS-grad, Sales, Wife, Female,
34, Bachelors, Protective-serv, Husband, Male, United-States
29, Some-college, Handlers-cleaners, Not-in-family, Male, United-States
48, Doctorate, Prof-specialty, Husband, Male, United-States
37, Some-college, Sales, Husband, Male, United-States
48, Assoc-acdm, Exec-managerial, Unmarried, Female, England
32, HS-grad, Other-service, Own-child, Male, United-States
76, Masters, Exec-managerial, Husband, Male, United-States
44, Bachelors, Exec-managerial, Husband, Male, United-States
47, Masters, Prof-specialty, Not-in-family, Female, United-States
20, Some-college, Tech-support, Own-child, Female, United-States
29, HS-grad, Craft-repair, Not-in-family, Male, United-States
32, HS-grad, Craft-repair, Husband, Male, United-States
17, 10th,, Own-child, Female, United-States
30, 11th, Handlers-cleaners, Own-child, Male, United-States
31, HS-grad, Adm-clerical, Not-in-family, Female, United-States
42, HS-grad, Handlers-cleaners, Husband, Male, United-States
24, Bachelors, Sales, Other-relative, Male, United-States
38, Prof-school, Prof-specialty, Husband, Male, United-States
56, HS-grad, Other-service, Husband, Male, Canada
28, Some-college, Sales, Wife, Female, United-States
36, HS-grad, Machine-op-inspct, Own-child, Female, United-States
53, 9th, Handlers-cleaners, Husband, Male, United-States
56, Some-college, Sales, Husband, Male, United-States
49, Assoc-voc, Craft-repair, Husband, Male, United-States
55, Some-college, Sales, Husband, Male, United-States
22, HS-grad, Craft-repair, Not-in-family, Male, United-States
21, Some-college, Other-service, Own-child, Female, United-States
40, Bachelors, Exec-managerial, Husband, Male, United-States
30, Bachelors, Exec-managerial, Own-child, Male, Germany
29, Bachelors, Prof-specialty, Husband, Male, United-States
19, Some-college, Other-service, Own-child, Male, United-States
47, Bachelors, Exec-managerial, Wife, Female, United-States
20, Some-college, Adm-clerical, Own-child, Female, United-States
31, Assoc-acdm, Adm-clerical, Husband, Male, United-States
35, HS-grad,, Husband, Male, United-States
39, Some-college, Craft-repair, Not-in-family, Male, United-States
28, Assoc-acdm, Sales, Not-in-family, Female, United-States
24, HS-grad, Other-service, Not-in-family, Female, United-States
38, HS-grad, Craft-repair, Husband, Male, United-States
37, Bachelors, Sales, Husband, Male, United-States
46, Assoc-acdm, Tech-support, Not-in-family, Female, United-States
38, Masters, Prof-specialty, Husband, Male, Iran
43, HS-grad, Craft-repair, Husband, Male, United-States
27, Assoc-voc, Adm-clerical, Wife, Female, United-States
20, Some-college, Sales, Own-child, Male, United-States
49, Some-college, Craft-repair, Husband, Male, United-States
61, HS-grad, Craft-repair, Husband, Male, United-States
27, Some-college, Sales, Own-child, Female, United-States
19, Some-college, Other-service, Own-child, Male, Mexico
45, Assoc-voc, Prof-specialty, Not-in-family, Female, United-States
70, Some-college, Tech-support, Other-relative, Male, United-States
31, HS-grad, Transport-moving, Unmarried, Female, United-States
22, Some-college, Other-service, Husband, Male, United-States
36, HS-grad, Other-service, Unmarried, Female, United-States
64, 11th, Craft-repair, Husband, Male, United-States
43, Some-college,, Not-in-family, Female, United-States
47, Some-college, Adm-clerical, Unmarried, Female, Mexico
34, HS-grad, Adm-clerical, Not-in-family, Female, United-States
33, Bachelors, Exec-managerial, Other-relative, Female, Philippines
21, HS-grad, Craft-repair, Own-child, Male, United-States
52, HS-grad,, Not-in-family, Male, United-States
48, HS-grad, Craft-repair, Husband, Male, United-States
23, Bachelors, Handlers-cleaners, Not-in-family, Male, United-States
71, Some-college, Sales, Unmarried, Male, United-States
29, HS-grad, Craft-repair, Not-in-family, Male, United-States
42, Bachelors, Other-service, Other-relative, Male, United-States
68, 1st-4th,, Not-in-family, Female, United-States
25, HS-grad, Other-service, Unmarried, Female, United-States
44, Masters, Exec-managerial, Unmarried, Female, United-States
28, HS-grad, Exec-managerial, Not-in-family, Female, England
45, Masters, Sales, Husband, Male, United-States
36, Some-college, Other-service, Unmarried, Female, Mexico
39, Assoc-acdm, Exec-managerial, Not-in-family, Male, United-States
46, Masters, Protective-serv, Unmarried, Male, United-States
18, 11th, Handlers-cleaners, Own-child, Male, United-States
66, Assoc-voc, Prof-specialty, Not-in-family, Female, United-States
27, HS-grad, Other-service, Not-in-family, Male, United-States
28, HS-grad, Protective-serv, Husband, Male, United-States
51, Some-college, Sales, Husband, Male, United-States
27, Bachelors, Craft-repair, Not-in-family, Male, United-States
28, Bachelors, Prof-specialty, Husband, Male, United-States
27, HS-grad, Sales, Unmarried, Female, United-States
21, HS-grad, Craft-repair, Own-child, Male, United-States
34, HS-grad, Handlers-cleaners, Not-in-family, Male, United-States
18, HS-grad, Other-service, Own-child, Male, United-States
33, Bachelors, Prof-specialty, Husband, Male, United-States
44, Some-college, Exec-managerial, Husband, Male, United-States
43, Some-college, Adm-clerical, Not-in-family, Female, United-States
30, Some-college, Craft-repair, Not-in-family, Male, United-States
40, 7th-8th, Machine-op-inspct, Husband, Male, Mexico
37, Some-college, Adm-clerical, Husband, Male, United-States
34, HS-grad, Adm-clerical, Husband, Male, United-States
41, Bachelors, Exec-managerial, Not-in-family, Female, United-States
53, Bachelors,, Not-in-family, Female, United-States
31, Masters, Prof-specialty, Wife, Female, United-States
58, Doctorate, Prof-specialty, Husband, Male, United-States
38, Some-college, Machine-op-inspct, Not-in-family, Female, United-States
24, Some-college, Machine-op-inspct, Husband, Male, United-States
41, Bachelors, Craft-repair, Husband, Male, United-States
47, Some-college, Tech-support, Husband, Male, United-States
41, Bachelors, Tech-support, Husband, Male, United-States
23, 5th-6th, Transport-moving, Other-relative, Male, Mexico
36, Some-college, Craft-repair, Not-in-family, Male, United-States
40, Masters, Exec-managerial, Not-in-family, Female, United-States
35, Masters, Prof-specialty, Other-relative, Male, United-States
24, HS-grad, Sales, Not-in-family, Male, United-States
26, Masters, Prof-specialty, Not-in-family, Female, United-States
19, HS-grad,, Own-child, Male, Italy
51, Bachelors, Exec-managerial, Husband, Male, United-States
42, Some-college, Prof-specialty, Not-in-family, Female, United-States
37, HS-grad, Adm-clerical, Unmarried, Female, United-States
18, 11th, Sales, Own-child, Female, United-States
36, Bachelors, Other-service, Husband, Male, United-States
35, HS-grad, Craft-repair, Not-in-family, Male, United-States
58, HS-grad, Sales, Wife, Female, United-States
17, 11th, Sales, Own-child, Female, United-States
44, HS-grad, Transport-moving, Husband, Male, United-States
37, HS-grad, Craft-repair, Husband, Male, United-States
35, Some-college, Sales, Not-in-family, Female, United-States
60, HS-grad, Craft-repair, Husband, Male, United-States
54, 7th-8th, Machine-op-inspct, Husband, Male, United-States
37, Bachelors, Exec-managerial, Not-in-family, Male, United-States
50, Assoc-acdm, Sales, Not-in-family, Female, United-States
38, Bachelors, Sales, Husband, Male, Poland
45, Bachelors, Prof-specialty, Husband, Male, United-States
25, 10th, Craft-repair, Not-in-family, Male, United-States
31, Some-college, Handlers-cleaners, Husband, Male, United-States
64, 1st-4th,, Not-in-family, Male, United-States
90, HS-grad, Other-service, Not-in-family, Male, United-States
54, HS-grad, Adm-clerical, Husband, Male, United-States
53, Preschool, Machine-op-inspct, Not-in-family, Female, United-States
18, HS-grad, Sales, Own-child, Female, United-States
60, 10th,, Not-in-family, Female, United-States
66, HS-grad, Farming-fishing, Husband, Male, United-States
75, Assoc-voc, Adm-clerical, Not-in-family, Female, Columbia
65, HS-grad, Adm-clerical, Not-in-family, Female, United-States
35, 11th, Transport-moving, Not-in-family, Male, United-States
41, HS-grad, Sales, Unmarried, Female, United-States
25, Some-college, Adm-clerical, Not-in-family, Male, United-States
33, Some-college, Craft-repair, Other-relative, Female, United-States
28, Prof-school, Prof-specialty, Not-in-family, Male, United-States
59, HS-grad, Other-service, Husband, Male, United-States
40, Some-college, Adm-clerical, Not-in-family, Female, United-States
41, Bachelors, Exec-managerial, Husband, Male, Iran
38, Masters, Exec-managerial, Husband, Male, United-States
23, HS-grad, Transport-moving, Own-child, Male, United-States
40, Bachelors, Prof-specialty, Husband, Male, United-States
41, HS-grad, Other-service, Wife, Female, United-States
24, Assoc-acdm, Protective-serv, Husband, Male, United-States
20, Some-college,, Own-child, Male, United-States
38, Some-college, Craft-repair, Not-in-family, Male, United-States
56, HS-grad, Adm-clerical, Husband, Male,
58, HS-grad, Adm-clerical, Husband, Male, United-States
32, HS-grad, Other-service, Not-in-family, Female, United-States
40, Assoc-acdm, Tech-support, Husband, Male, United-States
45, HS-grad, Adm-clerical, Husband, Male,
41, Prof-school, Prof-specialty, Wife, Female, United-States
42, Bachelors, Adm-clerical, Wife, Female, United-States
59, 10th, Other-service, Unmarried, Female, United-States
19, Some-college, Adm-clerical, Own-child, Male, United-States
58, Some-college, Transport-moving, Not-in-family, Male, United-States
42, HS-grad, Farming-fishing, Husband, Male, Cambodia
20, HS-grad, Other-service, Own-child, Female, United-States
32, HS-grad, Other-service, Not-in-family, Female, United-States
45, Assoc-voc, Exec-managerial, Not-in-family, Female, United-States
50, 7th-8th, Craft-repair, Not-in-family, Male, United-States
36, Bachelors, Prof-specialty, Own-child, Female, United-States
45, HS-grad, Sales, Husband, Male, United-States
17, 11th, Other-service, Own-child, Male, United-States
59, Some-college, Sales, Husband, Male, United-States
26, 11th, Craft-repair, Husband, Male, United-States
37, Some-college, Exec-managerial, Husband, Male, Thailand
19, Some-college,, Own-child, Male, Canada
64, HS-grad, Exec-managerial, Husband, Male, United-States
33, Bachelors, Prof-specialty, Not-in-family, Female, United-States
33, HS-grad, Craft-repair, Wife, Female, United-States
61, HS-grad, Exec-managerial, Husband, Male, United-States
17, 9th, Other-service, Own-child, Male, United-States
50, Masters, Farming-fishing, Husband, Male, United-States
27, Masters, Prof-specialty, Own-child, Male, United-States
30, HS-grad, Prof-specialty, Own-child, Female, United-States
43, HS-grad, Handlers-cleaners, Husband, Male, United-States
44, Some-college, Craft-repair, Husband, Male, United-States
35, Some-college, Exec-managerial, Not-in-family, Female, United-States
25, Some-college, Tech-support, Own-child, Female, United-States
24, Some-college, Machine-op-inspct, Wife, Female, United-States
22, Bachelors, Prof-specialty, Not-in-family, Female, Germany
42, Some-college, Craft-repair, Husband, Male, United-States
34, Assoc-acdm, Sales, Unmarried, Female, United-States
60, Bachelors, Prof-specialty, Not-in-family, Female, United-States
21, HS-grad, Handlers-cleaners, Own-child, Male, United-States
57, Masters, Sales, Husband, Male, United-States
41, Prof-school, Prof-specialty, Husband, Male, United-States
50, Some-college, Other-service, Not-in-family, Male, United-States
25, Bachelors, Exec-managerial, Not-in-family, Female, United-States
50, 7th-8th, Craft-repair, Husband, Male, Ecuador
36, Bachelors, Prof-specialty, Husband, Male, United-States
31, HS-grad, Prof-specialty, Not-in-family, Female, United-States
29, Bachelors, Protective-serv, Not-in-family, Male, United-States
21, Some-college, Sales, Own-child, Male, United-States
27, Bachelors, Tech-support, Unmarried, Female, United-States
65, HS-grad, Transport-moving, Husband, Male, United-States
37, Bachelors, Sales, Not-in-family, Female, United-States
39, Masters,, Wife, Female,
24, HS-grad, Craft-repair, Own-child, Male, United-States
38, HS-grad, Sales, Not-in-family, Male, United-States
48, Bachelors, Adm-clerical, Husband, Male, United-States
21, Some-college, Other-service, Not-in-family, Female, United-States
31, HS-grad, Transport-moving, Husband, Male, United-States
55, HS-grad, Sales, Husband, Male, United-States
24, Some-college, Adm-clerical, Wife, Female, Laos
43, HS-grad, Adm-clerical, Not-in-family, Female, United-States
26, Assoc-acdm, Tech-support, Not-in-family, Male, United-States
46, Assoc-acdm, Prof-specialty, Not-in-family, Female, United-States
35, Assoc-acdm, Adm-clerical, Husband, Male, United-States
41, Some-college, Farming-fishing, Husband, Male, United-States
26, Bachelors, Sales, Not-in-family, Male, United-States
34, Masters, Exec-managerial, Husband, Male, Taiwan
19, Some-college,, Own-child, Female, United-States
36, Bachelors, Prof-specialty, Not-in-family, Female, United-States
22, Some-college, Sales, Own-child, Male, United-States
24, Some-college, Machine-op-inspct, Not-in-family, Male, United-States
77, Some-college, Sales, Husband, Male, United-States
22, 5th-6th, Machine-op-inspct, Other-relative, Female, Mexico
29, Some-college, Tech-support, Not-in-family, Female, United-States
62, HS-grad, Other-service, Not-in-family, Female, United-States
39, HS-grad, Exec-managerial, Husband, Male, United-States
43, Some-college, Craft-repair, Husband, Male, United-States
35, HS-grad, Transport-moving, Not-in-family, Male, United-States
29, 11th, Exec-managerial, Not-in-family, Female, United-States
76, Masters, Craft-repair, Husband, Male, United-States
63, HS-grad, Farming-fishing, Husband, Male, United-States
23, Assoc-voc,, Own-child, Female, United-States
43, Some-college, Prof-specialty, Wife, Female, United-States
58, HS-grad, Handlers-cleaners, Husband, Male, United-States
66, HS-grad, Transport-moving, Not-in-family, Male, United-States
41, Some-college, Craft-repair, Not-in-family, Male, United-States
26, Bachelors, Adm-clerical, Not-in-family, Male, United-States
47, Assoc-voc, Other-service, Not-in-family, Male, United-States
55, 10th, Adm-clerical, Husband, Male, United-States
53, HS-grad, Transport-moving, Husband, Male, United-States
17, 5th-6th, Other-service, Other-relative, Male, Mexico
30, HS-grad, Craft-repair, Other-relative, Male, United-States
49, Masters, Prof-specialty, Not-in-family, Male, United-States
19, HS-grad, Sales, Unmarried, Male, Haiti
45, HS-grad, Other-service, Husband, Male, United-States
26, Assoc-acdm, Sales, Not-in-family, Male, United-States
38, Assoc-voc, Craft-repair, Husband, Male, United-States
36, HS-grad, Protective-serv, Husband, Male, United-States
33, HS-grad, Farming-fishing, Not-in-family, Male, United-States
22, Some-college, Protective-serv, Own-child, Female, United-States
43, Bachelors, Sales, Not-in-family, Male, United-States
67, 11th,, Husband, Male, United-States
30, Assoc-voc,, Unmarried, Female, United-States
56, Assoc-acdm, Other-service, Not-in-family, Male, Iran
31, Bachelors, Prof-specialty, Own-child, Male, United-States
33, Bachelors, Exec-managerial, Husband, Male, United-States
26, HS-grad, Other-service, Husband, Male, United-States
33, Bachelors, Exec-managerial, Husband, Male, United-States
46, 11th, Transport-moving, Husband, Male, United-States
59, Bachelors,, Husband, Male, United-States
38, HS-grad, Adm-clerical, Husband, Male, United-States
65, 11th, Other-service, Unmarried, Male, United-States
40, Assoc-voc, Tech-support, Husband, Male, United-States
42, HS-grad, Adm-clerical, Wife, Female, United-States
26, 9th, Craft-repair, Husband, Male, Portugal
36, 10th, Other-service, Wife, Female, United-States
62, Masters, Prof-specialty, Husband, Male, United-States
43, Bachelors, Transport-moving, Husband, Male, United-States
43, Bachelors, Exec-managerial, Not-in-family, Male, United-States
22, HS-grad, Sales, Not-in-family, Male, United-States
28, HS-grad, Craft-repair, Husband, Male, United-States
56, Some-college, Sales, Husband, Male, United-States
22, Assoc-acdm, Sales, Not-in-family, Female, United-States
57, Bachelors, Exec-managerial, Not-in-family, Female, United-States
39, HS-grad, Sales, Unmarried, Female, United-States
26, Some-college, Adm-clerical, Unmarried, Female, United-States
17, 11th, Other-service, Own-child, Male, United-States
40, Assoc-voc, Machine-op-inspct, Husband, Male, United-States
45, HS-grad, Machine-op-inspct, Husband, Male, United-States
44, HS-grad, Craft-repair, Not-in-family, Male, United-States
20, Some-college, Adm-clerical, Own-child, Female, United-States
33, HS-grad, Craft-repair, Wife, Female, United-States
23, Some-college, Sales, Not-in-family, Male, United-States
46, Masters, Exec-managerial, Not-in-family, Male, United-States
38, HS-grad, Sales, Husband, Male, United-States
54, HS-grad, Transport-moving, Not-in-family, Male, United-States
46, 5th-6th, Craft-repair, Not-in-family, Female, United-States
25, Some-college, Craft-repair, Husband, Male, United-States
46, Some-college, Sales, Not-in-family, Female, United-States
36, Some-college, Transport-moving, Wife, Female, United-States
23, HS-grad, Other-service, Not-in-family, Female, United-States
29, HS-grad, Machine-op-inspct, Not-in-family, Male, United-States
44, Some-college, Adm-clerical, Wife, Female, United-States
19, Some-college, Adm-clerical, Own-child, Female, United-States
19, HS-grad, Other-service, Other-relative, Female, United-States
35, HS-grad, Other-service, Wife, Female, United-States
27, Bachelors, Craft-repair, Not-in-family, Male, United-States
46, Assoc-acdm, Craft-repair, Not-in-family, Male, United-States
34, Bachelors, Exec-managerial, Husband, Male,
34, HS-grad, Other-service, Not-in-family, Female, United-States
44, Some-college, Tech-support, Husband, Male, United-States
45, Some-college, Handlers-cleaners, Unmarried, Female, United-States
20, HS-grad,, Other-relative, Female, United-States
25, Bachelors, Exec-managerial, Husband, Male, United-States
52, Bachelors, Exec-managerial, Husband, Male, United-States
20, Some-college, Handlers-cleaners, Own-child, Male, United-States
28, Some-college, Other-service, Not-in-family, Female, United-States
50, Bachelors, Protective-serv, Husband, Male, United-States
34, Assoc-voc, Tech-support, Not-in-family, Female, United-States
28, 7th-8th, Handlers-cleaners, Husband, Male, Puerto-Rico
41, Masters, Exec-managerial, Husband, Male, United-States
28, HS-grad, Adm-clerical, Husband, Male, United-States
46, HS-grad, Craft-repair, Husband, Male, United-States
28, Some-college,, Wife, Female, United-States
32, Some-college, Exec-managerial, Husband, Male, United-States
41, Some-college, Other-service, Not-in-family, Female, United-States
24, HS-grad, Handlers-cleaners, Unmarried, Female, United-States
33, Some-college, Exec-managerial, Unmarried, Female, United-States
46, Doctorate, Exec-managerial, Husband, Male, United-States
31, Some-college, Machine-op-inspct, Husband, Male, United-States
35, 12th, Craft-repair, Not-in-family, Male, United-States
52, 1st-4th, Machine-op-inspct, Husband, Male, Mexico
30, 11th, Other-service, Own-child, Female, United-States
34, 11th, Machine-op-inspct, Not-in-family, Male, United-States
34, HS-grad, Transport-moving, Unmarried, Female, United-States
20, Some-college, Sales, Husband, Male, United-States
17, 11th, Handlers-cleaners, Own-child, Male, United-States
32, Bachelors, Exec-managerial, Wife, Female, United-States
29, HS-grad, Farming-fishing, Not-in-family, Male, United-States
33, 10th, Craft-repair, Unmarried, Female, United-States
25, HS-grad, Transport-moving, Husband, Male, United-States
36, Masters, Prof-specialty, Not-in-family, Male, United-States
23, HS-grad, Handlers-cleaners, Not-in-family, Male, Dominican-Republic
63, HS-grad, Exec-managerial, Husband, Male, United-States
47, Masters, Prof-specialty, Husband, Male, United-States
80, HS-grad,, Not-in-family, Male, United-States
17, 11th,, Own-child, Male, United-States
40, Bachelors, Prof-specialty, Not-in-family, Female, United-States
30, Assoc-acdm, Other-service, Wife, Female, United-States
27, Some-college, Craft-repair, Own-child, Male, Philippines
33, Masters, Prof-specialty, Husband, Male, United-States
34, HS-grad, Farming-fishing, Not-in-family, Male, United-States
34, Some-college, Protective-serv, Not-in-family, Female, United-States
23, Some-college, Adm-clerical, Husband, Male, United-States
42, Some-college, Adm-clerical, Wife, Female, United-States
29, Bachelors, Prof-specialty, Not-in-family, Male, United-States
45, HS-grad, Adm-clerical, Not-in-family, Female, United-States
24, HS-grad, Armed-Forces, Own-child, Male, United-States
44, Some-college, Prof-specialty, Husband, Male, United-States
27, 9th, Craft-repair, Other-relative, Male, Mexico
20, Some-college, Sales, Not-in-family, Male, United-States
44, HS-grad, Exec-managerial, Unmarried, Female, United-States
51, HS-grad, Craft-repair, Husband, Male, United-States
20, HS-grad, Machine-op-inspct, Husband, Male, United-States
17, 11th,, Own-child, Female, United-States
19, HS-grad, Machine-op-inspct, Own-child, Female, United-States
45, Some-college, Craft-repair, Husband, Male, United-States
60, HS-grad, Craft-repair, Husband, Male, United-States
42, Assoc-acdm, Exec-managerial, Husband, Male,
44, HS-grad, Sales, Wife, Female, United-States
40, Assoc-voc, Machine-op-inspct, Husband, Male, United-States
30, HS-grad, Exec-managerial, Wife, Female, United-States
38, Some-college, Transport-moving, Husband, Male, United-States
23, HS-grad, Transport-moving, Husband, Male, United-States
32, Some-college,, Husband, Male, United-States
44, Assoc-acdm, Farming-fishing, Own-child, Male, United-States
54, HS-grad, Transport-moving, Husband, Male, United-States
32, Bachelors, Prof-specialty, Husband, Male, United-States
50, 1st-4th, Craft-repair, Unmarried, Male, United-States
24, Bachelors, Tech-support, Not-in-family, Female, United-States
37, HS-grad, Adm-clerical, Wife, Female, United-States
52, HS-grad, Transport-moving, Unmarried, Male, United-States
38, Some-college, Transport-moving, Husband, Male, United-States
49, Masters, Exec-managerial, Husband, Male, United-States
30, Bachelors, Tech-support, Wife, Female, United-States
60, Some-college, Prof-specialty, Unmarried, Male, United-States
22, Some-college,, Own-child, Male, United-States
35, HS-grad, Craft-repair, Not-in-family, Male, United-States
30, HS-grad, Transport-moving, Not-in-family, Male, United-States
67, Assoc-voc, Other-service, Not-in-family, Female, United-States
46, Bachelors, Craft-repair, Not-in-family, Female, United-States
17, 9th, Other-service, Not-in-family, Male, United-States
22, Some-college, Handlers-cleaners, Own-child, Male, United-States
27, 10th, Other-service, Not-in-family, Male, United-States
23, HS-grad, Other-service, Unmarried, Female, United-States
33, Assoc-acdm, Craft-repair, Husband, Male, Portugal
43, Some-college, Craft-repair, Husband, Male, United-States
28, Bachelors, Prof-specialty, Not-in-family, Male, United-States
41, HS-grad, Craft-repair, Unmarried, Female, United-States
52, 12th,, Other-relative, Male, United-States
25, Some-college, Adm-clerical, Own-child, Female, United-States
63, 1st-4th,, Husband, Male, United-States
59, HS-grad, Transport-moving, Husband, Male, United-States
45, Bachelors, Prof-specialty, Unmarried, Female, United-States
38, Bachelors, Sales, Husband, Male, United-States
40, HS-grad, Other-service, Not-in-family, Female, United-States
46, HS-grad, Adm-clerical, Not-in-family, Male, United-States
35, Assoc-acdm, Exec-managerial, Not-in-family, Female, United-States
34, HS-grad, Prof-specialty, Unmarried, Female, United-States
33, Bachelors, Craft-repair, Own-child, Male, United-States
41, HS-grad, Adm-clerical, Unmarried, Female, United-States
20, Some-college, Machine-op-inspct, Own-child, Male, United-States
23, 5th-6th, Other-service, Own-child, Male, El-Salvador
26, Some-college, Prof-specialty, Not-in-family, Female, United-States
72, HS-grad,, Husband, Male, United-States
23, HS-grad, Farming-fishing, Not-in-family, Male, Poland
62, HS-grad, Transport-moving, Husband, Male, United-States
52, Some-college, Adm-clerical, Husband, Male, United-States
58, Some-college, Other-service, Unmarried, Female, France
25, Bachelors, Sales, Not-in-family, Female, United-States
24, Bachelors, Exec-managerial, Not-in-family, Male, United-States
19, Some-college, Protective-serv, Own-child, Male, United-States
43, Some-college, Exec-managerial, Husband, Male, United-States
47, HS-grad, Adm-clerical, Unmarried, Female, United-States
39, HS-grad, Other-service, Unmarried, Female, United-States
49, Assoc-voc, Handlers-cleaners, Unmarried, Male, United-States
53, 5th-6th,, Unmarried, Female, United-States
32, Assoc-voc, Craft-repair, Not-in-family, Male, United-States
34, Some-college, Prof-specialty, Husband, Male, United-States
28, HS-grad, Craft-repair, Not-in-family, Male, United-States
57, Assoc-voc,, Unmarried, Female, United-States
25, Some-college, Adm-clerical, Not-in-family, Female, United-States
20, Some-college,, Own-child, Male, United-States
21, Some-college,, Unmarried, Female, United-States
34, Bachelors, Prof-specialty, Husband, Male, United-States
38, Bachelors, Exec-managerial, Husband, Male, United-States
50, HS-grad, Exec-managerial, Husband, Male, United-States
